timestamp,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle
2025-07-31 18:12:04,179.56,177.79,174.22,179.85
2025-07-31 18:12:15,179.66,178.93,174.74,178.52
2025-07-31 18:12:17,179.32,179.85,174.28,177.88
2025-07-31 18:12:18,179.36,179.6,177.83,174.24
2025-07-31 18:12:22,178.96,179.39,175.53,175.61
2025-07-31 18:12:24,179.68,177.19,175.77,179.51
2025-07-31 18:12:27,12.18,42.51,20.33,21.43
2025-07-31 18:12:29,161.32,178.73,163.24,176.51
2025-07-31 18:12:32,173.65,178.45,172.58,178.52
2025-07-31 18:12:37,177.03,178.77,173.8,178.62
2025-07-31 18:12:41,177.42,177.66,177.93,178.46
2025-07-31 18:12:47,174.33,172.04,179.19,174.18
2025-07-31 18:12:49,176.33,175.45,179.36,172.64
2025-07-31 18:12:49,178.03,179.2,178.96,174.75
2025-07-31 18:12:50,178.8,179.85,176.3,175.39
2025-07-31 18:12:51,179.39,179.84,175.53,175.36
2025-07-31 18:12:52,179.04,179.37,175.61,175.1
2025-07-31 18:12:52,179.27,179.44,175.56,175.32
